$:2015-01-28T21:49:18Z,989.6,198.8,13.0,77.6,13.0,2.2,7.5,7.4,0,0,1,0,-3200,-384,17408,-3200,-384,17408,-3200,-384,17408,1.0,46.8301,-119.1643,198.8,6.4,169.5,1,6,0,-0.7,0,0,1,0,0,1000,02:30,*CA
$:2015-01-28T21:49:18Z,989.6,198.8,13.0,77.6,13.0,2.2,7.5,7.4,0,0,1,0,-3200,-384,17408,-3200,-384,17408,-3200,-384,17408,1.0,46.8301,-119.1643,198.8,6.4,169.5,1,6,0,-0.7,0,0,1,0,0,1000,02:30,*CA
$:2015-01-28T21:49:20Z,988.6,207.2,13.0,77.6,13.0,1.8,7.5,7.4,0,0,1,0,-3712,128,18432,-3712,128,18432,-3712,128,18432,1.0,46.8301,-119.1643,207.2,9.1,169.5,1,5,1,4.2,0,0,1,0,0,1000,02:30,*FA
$:2015-01-28T21:49:22Z,987.3,218.3,13.0,77.8,13.0,1.3,7.5,7.4,0,0,1,0,-5440,832,17728,-5440,832,17728,-5440,832,17728,1.0,46.8301,-119.1643,218.3,1.9,175.9,1,6,0,5.6,0,0,1,0,0,1000,02:30,*1C
$:2015-01-28T21:49:24Z,986.5,225.1,13.0,80.6,13.0,1.3,7.5,7.4,0,0,1,0,-4160,-192,18560,-4160,-192,18560,-4160,-192,18560,1.0,46.8301,-119.1644,225.1,10.3,184.58,1,3,0,3.4,0,0,1,0,0,1000,02:30,*D6
$:2015-01-28T21:49:26Z,984.6,241.3,13.0,80.7,13.0,0.3,7.5,7.4,0,0,1,0,-3200,1216,17536,-3200,1216,17536,-3200,1216,17536,1.0,46.83,-119.1645,241.3,11.1,190.01,1,4,0,8.1,0,0,1,0,0,1000,02:30,*61
$:2015-01-28T21:49:28Z,982.5,259.2,13.0,80.7,13.0,1.3,7.5,7.4,0,0,1,0,-3520,-128,16896,-3520,-128,16896,-3520,-128,16896,1.0,46.8299,-119.1645,259.2,8.2,195.28,1,4,0,9.0,0,0,1,0,0,1000,02:30,*E8
$:2015-01-28T21:49:30Z,981.2,270.3,13.0,78.8,13.0,0.8,7.5,7.4,0,0,1,0,-2624,1536,17856,-2624,1536,17856,-2624,1536,17856,1.0,46.8298,-119.1646,270.3,7.4,200.27,1,7,0,5.5,0,0,1,0,0,1000,02:30,*EC
$:2015-01-28T21:49:32Z,979.4,285.7,13.0,80.4,13.0,0.3,7.5,7.4,0,0,1,0,-4480,2112,20224,-4480,2112,20224,-4480,2112,20224,1.0,46.8297,-119.1646,285.7,11.6,204.07,1,2,0,7.7,0,0,1,0,0,1000,02:30,*E0
$:2015-01-28T21:49:34Z,977.8,299.4,13.0,78.4,13.0,0.8,7.5,7.4,0,0,1,0,-3264,960,17088,-3264,960,17088,-3264,960,17088,1.0,46.8297,-119.1647,299.4,8.5,203.42,1,6,0,6.8,0,0,1,0,0,1000,02:30,*7E
$:2015-01-28T21:49:36Z,975.7,317.4,13.0,79.4,13.0,0.8,7.5,7.4,0,0,1,0,-2752,1984,19200,-2752,1984,19200,-2752,1984,19200,1.0,46.8296,-119.1647,317.4,10.7,200.93,1,1,1,9.0,0,0,1,0,0,1000,02:30,*14
